iter	Passed	Remaining
407	4455	6464
408	4463	6449
409	4472	6435
410	4482	6423
411	4492	6411
412	4500	6396
413	4509	6382
414	4517	6367
415	4525	6353
416	4533	6338
417	4542	6324
418	4551	6311
419	4560	6297
420	4570	6285
421	4578	6270
422	4586	6256
423	4597	6244
424	4605	6230
425	4614	6217
426	4623	6204
427	4631	6189
428	4640	6176
429	4648	6161
430	4656	6147
431	4664	6133
432	4672	6118
433	4681	6104
434	4689	6090
435	4697	6077
436	4706	6062
437	4714	6049
438	4722	6035
439	4731	6021
440	4739	6008
441	4750	5997
442	4758	5983
443	4767	5970
444	4775	5955
445	4784	5942
446	4792	5928
447	4801	5916
448	4809	5902
449	4818	5889
450	4826	5875
451	4834	5861
452	4842	5847
453	4851	5834
454	4859	5821
455	4868	5807
456	4876	5794
457	4885	5781
458	4893	5767
459	4901	5753
460	4910	5741
461	4918	5727
462	4926	5714
463	4935	5700
464	4943	5687
465	4951	5674
466	4959	5660
467	4968	5648
468	4977	5635
469	4986	5623
470	4995	5610
471	5003	5597
472	5011	5583
473	5020	5571
474	5029	5558
475	5037	5545
476	5045	5531
477	5053	5518
478	5062	5506
479	5071	5493
480	5080	5481
481	5088	5468
482	5097	5456
483	5105	5443
484	5114	5430
485	5122	5417
486	5130	5404
487	5138	5391
488	5147	5378
489	5156	5366
490	5165	5354
491	5174	5342
492	5183	5330
493	5192	5318
494	5200	5305
495	5208	5292
496	5217	5280
497	5226	5268
498	5234	5255
499	5243	5243
500	5251	5230
501	5259	5217
502	5268	5205
503	5276	5192
504	5285	5180
505	5293	5168
506	5302	5155
507	5310	5143
508	5318	5130
509	5326	5117
510	5335	5105
511	5342	5092
512	5351	5080
513	5359	5067
514	5368	5055
515	5377	5043
516	5385	5031
517	5394	5019
518	5402	5006
519	5410	4994
520	5419	4982
521	5427	4970
522	5435	4957
523	5443	4945
524	5452	4932
525	5460	4920
526	5469	4908
527	5477	4896
528	5486	4884
529	5494	4872
530	5503	4860
531	5511	4848
532	5519	4836
533	5528	4824
534	5536	4811
535	5545	4800
536	5553	4788
537	5561	4776
538	5569	4763
539	5578	4752
540	5587	4740
541	5595	4728
542	5603	4715
543	5611	4703
544	5619	4691
545	5628	4679
546	5636	4667
547	5644	4656
548	5652	4643
549	5661	4631
550	5669	4619
551	5678	4608
552	5687	4596
553	5695	4585
554	5703	4572
555	5712	4561
556	5720	4549
557	5728	4537
558	5737	4526
559	5745	4514
560	5753	4502
561	5761	4490
562	5769	4478
563	5778	4466
564	5786	4455
565	5795	4443
566	5803	4431
567	5812	4420
568	5820	4408
569	5827	4396
570	5835	4384
571	5844	4372
572	5852	4361
573	5860	4349
574	5869	4338
575	5877	4326
576	5886	4315
577	5895	4304
578	5903	4292
579	5911	4280
580	5920	4269
581	5928	4257
582	5936	4246
583	5943	4233
584	5951	4222
585	5960	4210
586	5968	4199
587	5975	4187
588	5984	4175
589	5992	4164
590	6001	4152
591	6009	4141
592	6018	4130
593	6026	4119
594	6035	4107
595	6043	4096
596	6051	4084
597	6058	4072
598	6067	4062
599	6075	4050
600	6084	4039
601	6092	4028
602	6100	4016
603	6109	4005
604	6117	3994
605	6126	3982
606	6134	3971
607	6143	3961
608	6151	3949
609	6159	3938
610	6168	3927
611	6176	3915
612	6184	3904
613	6192	3893
614	6201	3882
615	6208	3870
616	6217	3859
617	6225	3848
618	6234	3837
619	6242	3826
620	6251	3815
621	6259	3803
622	6267	3792
623	6275	3781
624	6283	3770
625	6292	3759
626	6300	3748
627	6309	3737
628	6317	3726
629	6324	3714
630	6333	3703
631	6341	3692
632	6349	3681
633	6357	3670
634	6365	3659
635	6374	3648
636	6382	3637
637	6390	3625
638	6399	3615
639	6407	3604
640	6416	3593
641	6424	3582
642	6433	3571
643	6441	3561
644	6450	3550
645	6458	3539
646	6466	3528
647	6476	3518
648	6485	3507
649	6494	3496
650	6504	3487
651	6513	3476
652	6521	3465
653	6529	3454
654	6538	3443
655	6546	3432
656	6554	3421
657	6563	3411
658	6571	3400
659	6579	3389
660	6587	3378
661	6596	3367
662	6605	3357
663	6613	3346
664	6621	3335
665	6629	3324
666	6637	3313
667	6646	3303
668	6654	3292
669	6662	3281
670	6671	3270
671	6680	3260
672	6688	3249
673	6697	3239
674	6705	3228
675	6714	3218
676	6723	3207
677	6731	3196
678	6739	3186
679	6748	3175
680	6757	3165
681	6766	3155
682	6774	3144
683	6784	3134
684	6791	3123
685	6800	3112
686	6809	3102
687	6817	3091
688	6825	3081
689	6833	3070
690	6841	3059
691	6849	3048
692	6858	3038
693	6867	3028
694	6875	3017
695	6884	3006
696	6892	2996
697	6901	2985
698	6909	2975
699	6917	2964
700	6926	2954
701	6934	2943
702	6943	2933
703	6951	2922
704	6961	2912
705	6969	2902
706	6978	2892
707	6987	2881
708	6996	2871
709	7005	2861
710	7013	2850
711	7021	2840
712	7029	2829
713	7037	2819
714	7046	2808
715	7054	2798
716	7064	2788
717	7073	2778
718	7082	2767
719	7090	2757
720	7099	2747
721	7108	2736
722	7116	2726
723	7124	2715
724	7133	2705
725	7141	2695
726	7149	2684
727	7158	2674
728	7165	2663
729	7174	2653
730	7182	2642
731	7190	2632
732	7199	2622
733	7207	2612
734	7215	2601
735	7224	2591
736	7232	2580
737	7240	2570
738	7249	2560
739	7257	2549
740	7265	2539
741	7274	2529
742	7282	2518
743	7291	2508
744	7300	2498
745	7308	2488
746	7316	2478
747	7325	2468
748	7334	2457
749	7342	2447
750	7351	2437
751	7360	2427
752	7368	2417
753	7376	2406
754	7385	2396
755	7393	2386
756	7402	2376
757	7410	2366
758	7419	2355
759	7427	2345
760	7436	2335
761	7444	2325
762	7453	2315
763	7461	2304
764	7469	2294
765	7477	2284
766	7486	2274
767	7494	2263
768	7502	2253
769	7510	2243
770	7519	2233
771	7527	2223
772	7536	2213
773	7544	2203
774	7553	2192
775	7561	2182
776	7570	2172
777	7578	2162
778	7586	2152
779	7594	2142
780	7603	2132
781	7611	2121
782	7619	2111
783	7627	2101
784	7636	2091
785	7645	2081
786	7654	2071
787	7662	2061
788	7670	2051
789	7679	2041
790	7687	2031
791	7696	2021
792	7703	2010
793	7712	2000
794	7720	1990
795	7728	1980
796	7737	1970
797	7745	1960
798	7754	1950
799	7763	1940
800	7771	1930
801	7779	1920
802	7787	1910
803	7795	1900
804	7803	1890
805	7812	1880
806	7820	1870
807	7829	1860
808	7838	1850
809	7847	1840
810	7855	1830
811	7863	1820
812	7871	1810
813	7879	1800
814	7888	1790
815	7896	1780
816	7905	1770
817	7913	1760
818	7922	1750
819	7930	1740
820	7939	1730
821	7947	1721
822	7956	1711
823	7964	1701
824	7973	1691
825	7981	1681
826	7990	1671
827	7998	1661
828	8007	1651
829	8015	1641
830	8024	1631
831	8032	1621
832	8040	1611
833	8048	1602
834	8057	1592
835	8066	1582
836	8074	1572
837	8084	1562
838	8092	1552
839	8101	1543
840	8110	1533
841	8119	1523
842	8126	1513
843	8136	1503
844	8144	1493
845	8152	1484
846	8161	1474
847	8170	1464
848	8178	1454
849	8186	1444
850	8195	1434
851	8204	1425
852	8212	1415
853	8220	1405
854	8228	1395
855	8237	1385
856	8245	1375
857	8253	1366
858	8261	1356
859	8270	1346
860	8279	1336
861	8287	1326
862	8296	1317
863	8304	1307
864	8313	1297
865	8321	1287
866	8329	1277
867	8337	1267
868	8345	1258
869	8354	1248
870	8361	1238
871	8369	1228
872	8377	1218
873	8386	1208
874	8394	1199
875	8402	1189
876	8411	1179
877	8418	1169
878	8427	1160
879	8435	1150
880	8443	1140
881	8452	1130
882	8461	1121
883	8469	1111
884	8478	1101
885	8486	1091
886	8494	1082
887	8502	1072
888	8510	1062
889	8518	1052
890	8526	1043
891	8535	1033
892	8544	1023
893	8552	1014
894	8560	1004
895	8569	994
896	8578	985
897	8586	975
898	8595	965
899	8603	955
900	8611	946
901	8619	936
902	8628	926
903	8636	917
904	8644	907
905	8652	897
906	8661	888
907	8669	878
908	8678	868
909	8686	859
910	8695	849
911	8703	839
912	8711	830
913	8719	820
914	8728	810
915	8736	801
916	8744	791
917	8752	781
918	8761	772
919	8769	762
920	8777	752
921	8785	743
922	8793	733
923	8801	723
924	8811	714
925	8819	704
926	8827	695
927	8835	685
928	8843	675
929	8852	666
930	8860	656
931	8868	647
932	8877	637
933	8885	627
934	8893	618
935	8902	608
936	8911	599
937	8919	589
938	8927	579
939	8935	570
940	8943	560
941	8951	551
942	8960	541
943	8969	532
944	8977	522
945	8985	512
946	8993	503
947	9002	493
948	9009	484
949	9018	474
950	9026	465
951	9034	455
952	9042	445
953	9051	436
954	9059	426
955	9068	417
956	9076	407
957	9085	398
958	9093	388
959	9101	379
960	9109	369
961	9118	360
962	9125	350
963	9134	341
964	9142	331
965	9150	322
966	9159	312
967	9168	303
968	9178	293
969	9186	284
970	9194	274
971	9202	265
972	9210	255
973	9219	246
974	9227	236
975	9235	227
976	9243	217
977	9251	208
978	9260	198
979	9268	189
980	9277	179
981	9285	170
982	9293	160
983	9301	151
984	9310	141
985	9318	132
986	9327	122
987	9335	113
988	9343	103
989	9351	94
990	9359	85
991	9368	75
992	9376	66
993	9384	56
994	9392	47
995	9401	37
996	9409	28
997	9417	18
998	9425	9
999	9434	0
